Sector,Sector Desc,Part No,Part Desc,Alt.Part No,Alt.Part Desc,Product Category,Product Category Desc,MRP,HSN
MT01,Truck & Bus Division,SF0401041,WASHER PLAIN G11.1X23.4X1.65XGR,,,,,1.00,73182200
MT01,Truck & Bus Division,7715DAP00180N,"""O"" RING - M14",,,,,1.00,87089900
MT01,Truck & Bus Division,7503AAE00370N,SERVICEABLE RETAINER RING  B P  13T ICV,,,,,1.00,87089900
MT01,Truck & Bus Division,A93480002-33,SPRING WASHER CLIP PLATE,,,,,1.00,73182200
MT01,Truck & Bus Division,7903053043,PLAIN WASHER M8,,,,,1.00,73181500
MT01,Truck & Bus Division,0052371,CAP-SEALING,,,PV,Passenger Vehicles and Common Parts,1.00,87089900
MT01,Truck & Bus Division,SF0308002,NUT HX WLD M5X0.8X5X6 PL,,,,,1.00,73181600
MT01,Truck & Bus Division,7718AAP04420N,SLEEVE L12,,,,,1.00,87089900
MT01,Truck & Bus Division,SF0308003,NUT HX WLD M6X1X5X6 PL,SF0302003,NUT HX WLD M6X1X5X6 PL,,,1.00,73181500
MT01,Truck & Bus Division,7601BAC00710N,SHIM HUB 0.18 THK,,,,,2.00,87089900
MT01,Truck & Bus Division,0303EAV00260N,"WASHER PLAIN, AL-10X16",,,,,2.00,73182200
MT01,Truck & Bus Division,7601BAC00700N,SHIM HUB 0.15 THK,,,,,2.00,87089900
MT01,Truck & Bus Division,6105FAC00040N,SEALING PLUG 30X30,,,,,2.00,87089900
MT01,Truck & Bus Division,7601BAC00690N,SHIM HUB 0.1 THK,,,,,2.00,87089900
MT01,Truck & Bus Division,6104KAA00450N,BOLT HEX HEAD CR RCESS M5X0.8X14X6.6XBK,,,,,2.00,73181500
MT01,Truck & Bus Division,SF0207030,SCREW PHCR M5X0.8X27X6.6,,,,,2.00,73181500
MT01,Truck & Bus Division,0311DC0410N,GASKET OIL JET - NEF 2.6L CNG,,,,,2.00,84841010
MT01,Truck & Bus Division,SF0301058,NUT HEX M8X1.25X4X5,,,,,2.00,73181600
MT01,Truck & Bus Division,SF0401073,WASHER PLAIN M5X14X1,SF0401090,WASHER PLAIN M5X14X1,,,2.00,73182200
MT01,Truck & Bus Division,7301DAP00151N,FUEL TANK PLASTIC-WASHER(ID 8.2X OD23X 3,,,,,2.00,87089900
MT01,Truck & Bus Division,0052385,LOCKWASHER-GEAR BOX TO BELL HSG,,,CV,Commercial Vehicles & Common Parts,2.00,73182100
MT01,Truck & Bus Division,SF0401077,WASHER,,,,,2.00,73182200
MT01,Truck & Bus Division,SF0401090,WASHER PLAIN M6X18X1.6,,,CV,Commercial Vehicles & Common Parts,2.00,73182200
MT01,Truck & Bus Division,7601BAC00730N,SHIM HUB 0.30 THK,,,,,2.00,87089900
